sId;sOpTeam;sAwTeam;sTsTeam
f0000;t11-49;;
f0001;2 de Mayo;;
f0002;A. Klagenfurt;;
f0003;Aalborg;;Aalborg
f0004;Aarau;;Aarau
f0005;Aarhus;;AGF Aarhus
f0006;Abu Qir Semad;;
f0007;AC Milan;;AC Milan
f0008;Academico Viseu;;Academico Viseu
f0009;Academico Viseu U23;;
f0010;AD Merida;;M rida
f0011;AD Tarma;;ADT
f0012;Adama City;;
f0013;Adamstown Rosebud;;Adamstown
f0014;Adelaide United;;Adelaide United
f0015;Admira;;FC Admira
f0016;AE Altos;;
f0017;AEK Athens;;AEK Athens
f0018;AEK Larnaca;;AEK Larnaca
f0019;Afturelding;;
f0020;Agua Santa;;
f0021;Aguia De Maraba;; guia de Marab 
f0022;Aguila;;Aguila
f0023;Aguilas FC;;
f0024;AIK;;AIK Stockholm
f0025;Airbus;;
f0026;Airdrieonians;;
f0027;Ajka;;Ajka
f0028;Ajman;;
f0029;Akranes;;
f0030;Al Adalah;;
f0031;Al Ahli Doha;;Al Ahli SC
f0032;Al Ahli SC;;Al Ahli Jeddah
f0033;Al Ain;;Al Ain
f0034;Al Arabi;;
f0035;Al Bataeh;;
f0036;Al Buqaa;;
f0037;Al Dhafra;;
f0038;Al Diriyah;;
f0039;Al Ettifaq;;Al Ettifaq
f0040;Al Fateh;;Al Fateh
f0041;Al Fayha;;
f0042;Al Fujairah;;
f0043;Al Gharraf;;
f0044;Al Hamriyah;;
f0045;Al Hazem;;Al Hazem
f0046;Al Hilal;;Al Hilal
f0047;Al Hussein;;
f0048;Al Ittihad;;
f0049;Al Jazeera Amman;;
f0050;Al Jazira;;
f0051;Al Jazira Hamra;;
f0052;Al Khaleej;;
f0053;Al Masry;;
f0054;Al Nahda;;
f0055;Al Najma;;
f0056;Al Nasr;;Al Nasr Dubai
f0057;Al Nassr;;
f0058;Al Qanah;;
f0059;Al Ramtha;;
f0060;Al Rayyan;;Al Rayyan
f0061;Al Riyadh;;Al Riyadh
f0062;Al Salt;Al Salt;
f0063;Al Shabab;;
f0064;Al Sharjah;;
f0065;Al Shorta;;
f0066;Al Taee;;
f0067;Al Thaid;;
f0068;Al Urooba;;
f0069;Al Wahda;;
f0070;Al Wakra;;Al Wakra
f0071;Al Wasl;;
f0072;Al Wasl U23;;
f0073;Al Wehdat;Al Wehdat Jor;
f0074;Al Zawraa;;
f0075;Al Zulfi;;
f0076;Alagoinhas;;Alagoinhas
f0077;Alajuelense;;Alajuelense
f0078;Alashkert;;Alashkert
f0079;Alaves;Alaves;Alav s
f0080;Albacete;;Albacete
f0081;AlbinoLeffe;;AlbinoLeffe
f0082;Albirex Niigata;;Niigata
f0083;Alcorcon;;Alcorc n
f0084;Aldershot;;
f0085;Al-Duhail;;Al Duhail
f0086;Al-Faisaly;;
f0087;Al-Faisaly Amman;;
f0088;Algeciras;;Algeciras
f0089;Al-Gharafa;;Al Gharafa
f0090;Alianza Atl.;;Alianza Atl tico Sullana
f0091;Alianza FC;;Alianza FC
f0092;Al-Ittifaq;;
f0093;All Boys;;All Boys
f0094;Almere City;;Almere City
f0095;Almeria;;Almer a
f0096;Almirante Brown;;Almirante Brown
f0097;Al-Muharraq;;
f0098;Al-Sadd;;Al Sadd
f0099;Al-Sekka;;
f0100;Al-Shabab;;
f0101;Al-Shabbab;;
f0102;Al-Shahaniya;;Al Shahaniya
f0103;Altamura;;Team Altamura
f0104;Al-Ula;;
f0105;Always Ready;;
f0106;AmaZulu;;AmaZulu
f0107;Ameliano;;
f0108;America MG U20;;
f0109;America RN;;
f0110;America SE;;
f0111;Amstetten;;Amstetten
f0112;Anapolis;;
f0113;Anderlecht;;Anderlecht
f0114;Andorra;;FC Andorra
f0115;Angers;;Angers
f0116;Annaba;;
f0117;Annecy;;Annecy
f0118;Antalyaspor;;Antalyaspor
f0119;Antequera;;Antequera
f0120;Antigua;;Antigua
f0121;APOEL;;APOEL Nicosia
f0122;APS Bomet;;
f0123;Araba;;
f0124;Arabe Unido;; rabe Unido
f0125;Ararat Yerevan;;
f0126;Araz;;
f0127;Arda;;
f0128;Arema FC;Arema FC;Arema FC
f0129;Argentina U20 W;;
f0130;Argentino de Quilmes;;Argentino de Quilmes
f0131;Argentinos Jrs;Argentinos Juniors;
f0132;Aris;;Aris Thessaloniki
f0133;Arka Gdynia;;Arka Gdynia
f0134;Arouca;;
f0135;Arsenal;;Arsenal
f0136;Arsenal Tula;;
f0137;Arsenal U21;;
f0138;Artis Brno;Artis Brno;Artis Brno
f0139;Aruba U20;;
f0140;Arzignano;;Arzignano Valchiampo
f0141;AS Roma;;AS Roma
f0142;ASA;;
f0143;Ascoli;;Ascoli
f0144;Aston Villa;Aston Villa;Aston Villa
f0145;Aston Villa U21;;
f0146;Atalanta;;Atalanta Bergamo
f0147;Atalanta U23;;Atalanta Bergamo U23
f0148;Ath Bilbao B;;
f0149;Athletic Bilbao W;;Bilbao  
f0150;Athletico-PR;;
f0151;Athlone;;
f0152;Atl. Madrid U19;;
f0153;Atl. Nacional;;
f0154;Atl. Ottawa;;
f0155;Atl. Rafaela;;Atl tico Rafaela
f0156;Atl. San Luis;;Atl tico San Luis
f0157;Atl. Tucuman;;
f0158;Atlante;;
f0159;Atlas;;Atlas Guadalajara
f0160;Atletico F.C.;;
f0161;Atletico-MG;;Atletico MG
f0162;Atus Velden;;
f0163;Aubagne;;Aubagne
f0164;Auckland FC 2;;
f0165;Aue;;Aue
f0166;Augsburg;Augsburg;Augsburg
f0167;Aurora;;
f0168;Aurora F.C.;;Aurora FC
f0169;Austin FC;;Austin FC
f0170;Austria Vienna (Am);;
f0171;Auxerre;;Auxerre
f0172;Avai U20;;
f0173;Avellino;;Avellino
f0174;Avispa Fukuoka;Avispa Fukuoka;Fukuoka
f0175;Ayutthaya Utd;;Ayutthaya United
f0176;AZ Alkmaar;;Alkmaar
f0177;AZ Alkmaar U19;;
f0178;B. Monchengladbach;;M nchengladbach
f0179;B.93;;
f0180;Babelsberg;;
f0181;Baglan Dragons;;
f0182;Bahia;;
f0183;Bala;;Bala
f0184;Baladiyat El Mahalla;;
f0185;Balcatta;;Balcatta
f0186;Baltika;;
f0187;Banfield;;Banfield
f0188;Bangkok Utd;;Bangkok United
f0189;Bani Yas;;Bani Yas
f0190;Barakaldo;;Barakaldo
f0191;Barcelona;;FC Barcelona
f0192;Barcelona B;;
f0193;Barcelona SC;Barcelona SC;
f0194;Bari;;Bari
f0195;Barracas Central;;
f0196;Barranquilla;;
f0197;Basaksehir;Basaksehir;Basaksehir
f0198;Basel;;Basel
f0199;Bastia;;
f0200;Bayern II;;
f0201;Bayswater;;
f0202;Beerschot VA;;Beerschot
f0203;Bechar Djedid;;
f0204;Beit Shean;;
f0205;Beitar Yavne;;
f0206;Bekescsaba 1912;;B k scsaba
f0207;Belgrano;;
f0208;Bellinzona;;Bellinzona
f0209;Ben Aknoun;;Ben Aknoun
f0210;Benevento;;Benevento
f0211;Benfica;;
f0212;Benfica U19;;
f0213;Bengaluru FC;Bengaluru FC;Bengaluru FC
f0214;Beni Oulbane;;
f0215;Berkane;;RSB Berkane
f0216;Besiktas;;Besiktas
f0217;Beveren;;Beveren
f0218;Beveren U21;;
f0219;BFC Dynamo;;
f0220;Bidco United;;
f0221;Binga;;
f0222;Birkirkara;;
f0223;Birmingham;;
f0224;Birmingham U21;;Birmingham U21
f0225;Biskra;;
f0226;Bissen;;Bissen
f0227;Blackburn U21;;
f0228;Bnei Yehuda;;
f0229;Boavista;;Boavista SC
f0230;Boca Juniors;;
f0231;Bodrumspor;;Bodrumspor
f0232;Bogota;;
f0233;Bohemians;;Bohemians 1905
f0234;Bochum;Bochum;Bochum
f0235;Bochum II;;
f0236;Bologna;Bologna;Bologna
f0237;Boluspor;Boluspor;Boluspor
f0238;Borneo;Pusamania Borneo;Borneo FC
f0239;Botafogo PB;;Botafogo PB
f0240;Botafogo RJ;;Botafogo FR
f0241;Botafogo U20;;
f0242;Botev Plovdiv;Botev Plovdiv;Botev Plovdiv
f0243;Bougouba;;
f0244;Boulogne;;Boulogne
f0245;Bra;;AC Bra
f0246;Braga U23;;
f0247;Bragantino;;
f0248;Braintree;;
f0249;Brann;Brann;Brann Bergen
f0250;Bravo;;Bravo
f0251;Bray;;
f0252;Brazil U20 W;;
f0253;Bregenz;;Bregenz
f0254;Breidablik;;
f0255;Brescia;;Union Brescia
f0256;Brighton U21;;Brighton U21
f0257;Brighton W;;Brighton  
f0258;Brisbane City;;Brisbane City
f0259;Brisbane Roar U23;;Brisbane Roar Youth
f0260;Bristol City;Bristol City;Bristol City
f0261;Briton Ferry;;Briton Ferry
f0262;Broadmeadow;;
f0263;Brunswick City;;
f0264;Brusque;;Brusque
f0265;Budafoki;;Budafoki
f0266;Buchbach;;
f0267;Burgos CF;;Burgos CF
f0268;Buriram;;
f0269;Burnley U21;;
f0270;BVSC-Zuglo;;BVSC Zugl 
f0271;BW Linz;;Blau Weiss Linz
f0272;CA Batna;;
f0273;Cacahuatique;;Cacahuatique
f0274;Cacereno;;Cacereno
f0275;Caernarfon;;Caernarfon
f0276;Cagliari;Cagliari;Cagliari
f0277;Cajamarca;;UTC Cajamarca
f0278;Cambuur;;Cambuur
f0279;Campobasso;;Campobasso
f0280;Canon Yaounde;;
f0281;Capivariano;;Capivariano
f0282;Caracas;;Caracas
f0283;Cardiff Metropolitan;;
f0284;Carlisle;;
f0285;Carpi;;Carpi
f0286;Cartagines;;Cartagin s
f0287;Castanhal;;
f0288;Castellon B;;
f0289;Catania;;Catania
f0290;CE Europa;;CE Europa
f0291;Ceara;;
f0292;Ceilandia;;
f0293;Celje;Celje;Celje
f0294;Celta Vigo;;Celta Vigo
f0295;Celtic;Celtic Glasgow;Celtic Glasgow
f0296;Central Coast Mariners;;Central Coast Mariners
f0297;Central Cordoba;;Central C rdoba SdE
f0298;Central Esp.;;Central Espanol
f0299;Cerezo Osaka;;Cerezo
f0300;Cerro Porteno;;
f0301;Ceuta;;
f0302;CF Montreal;;Montreal
f0303;Cianorte;;
f0304;Cibalia;;
f0305;Cienciano;;Cienciano Cusco
f0306;Cittadella;;
f0307;Ciudad Bolivar;;Ciudad de Bolivar
f0308;Clermont;;Clermont
f0309;Club A. Guemes;;G emes
f0310;Club Brugge U19;;
f0311;Club Leon;;Le n
f0312;Coastal Spirit;;
f0313;Coban Imperial;;Cob n Imperial
f0314;Cobh Ramblers;Cobh Ramblers;Cobh Ramblers
f0315;Cobresal;Cobresal;Cobresal
f0316;COD Meknes;;
f0317;Colombia U20 W;;
f0318;Columbus Crew;;Columbus
f0319;Colwyn Bay;Colwyn Bay;Colwyn Bay
f0320;Comunicaciones;;Comunicaciones
f0321;Concarneau;;Concarneau
f0322;Confianca;;
f0323;Constantine;;
f0324;Consultants Desamparados;;
f0325;Cooks Hill United;;Cooks Hill United
f0326;Coquimbo;;Coquimbo
f0327;Cordoba;;
f0328;Corinthians;;Corinthians
f0329;Coritiba;;
f0330;Cork City;;Cork City
f0331;Corum;;Corum FK
f0332;Cosenza;;Cosenza
f0333;Cotonsport;;
f0334;Cottbus;;Cottbus
f0335;Coventry;;
f0336;CR Belouizdad;;
f0337;CR Beni Thour;;
f0338;Cracovia;;
f0339;Cremonese;;Cremonese
f0340;Criciuma U20;;
f0341;Crotone;;Crotone
f0342;Croydon;;Croydon
f0343;Cruz Azul;;Cruz Azul
f0344;Cruzeiro;;Cruzeiro
f0345;Cruzeiro U20;;
f0346;Crvena zvezda;CZ Beograd;CZ Beograd
f0347;Crystal Palace;;Crystal Palace
f0348;Csakvari;;Cs kv ri
f0349;CSKA 1948 Sofia;;CSKA 1948 Sofia
f0350;CSM Slatina;;CSM Slatina
f0351;Cukaricki;;Cukaricki Beograd
f0352;Cwmbran Celtic;;
f0353;Damac;;Damac
f0354;Dandenong City;;Dandenong City
f0355;Dangkor;;
f0356;Daring Brussels U21;;
f0357;Darmstadt;SV Darmstadt 1898;Darmstadt
f0358;Dayrout;;
f0359;DC United;;Washington
f0360;De Graafschap;De Graafschap;De Graafschap
f0361;Debrecen;;Debrecen VSC
f0362;Def. de Belgrano;;Defensores de Belgrano
f0363;Defence Force;;
f0364;Defensor Sp.;;
f0365;Degerfors;;Degerfors
f0366;Delfin;;Delfin
f0367;Den Bosch;;Den Bosch
f0368;Den Haag;;Den Haag
f0369;Denbigh;;
f0370;Dep. Cuenca;;Deportivo Cuenca
f0371;Dep. Merlo;;Deportivo Merlo
f0372;Dep. Riestra;;
f0373;Dep. Tachira (Ven);;
f0374;Deportes Tolima (Col);;
f0375;Deportivo Achuapa;;
f0376;Deportivo Madryn;;
f0377;Deportivo Maipu;;Deportivo Maip 
f0378;Deportivo Mixco;Deportivo Mixco;
f0379;Deportivo Moron;Deportivo Moron;Deportivo Mor n
f0380;Derby Academie;;
f0381;Derry City;Derry City;Derry City
f0382;Detonit Plackovica;;
f0383;Deutschlandsberger;;
f0384;Dewa United;Dewa United;Dewa United
f0385;Dibba Al Fujairah;;
f0386;Dibba Al Hisn;;
f0387;Difai Agsu;;
f0388;Differdange;;Differdange
f0389;Din. Zagreb;;Dinamo Zagreb
f0390;Dire Dawa;;
f0391;Diriangen;;Diriangen
f0392;Djijel;;
f0393;Dolomiti Bellunesi;;Dolomiti Bellunesi
f0394;Donaufeld Wien;;
f0395;Dordrecht;;Dordrecht
f0396;Dortmund;;
f0397;DPMM;;Brunei DPMM
f0398;Drita;Drita;Drita
f0399;Drogheda;;
f0400;Drochtersen/Assel;;
f0401;Dubai City;;
f0402;Dubrava;;
f0403;Dudelange;;Dudelange
f0404;Dukla Prague;;Dukla Praha
f0405;Dundalk;;Dundalk
f0406;Dunkerque;;Dunkerque
f0407;Dusseldorf;;
f0408;Dusseldorf II;;
f0409;Dyn. Kyiv;;
f0410;East Bengal;;East Bengal
f0411;Eastleigh;;
f0412;Ecuador U20 W;;Ekv dor  -U20
f0413;Eibar W;;Eibar  
f0414;Eilenburg;;Eilenburg
f0415;Eindhoven FC;;
f0416;El Bayadh;;El Bayadh
f0417;Eldense;;Eldense
f0418;El-Entag El-Harby;;
f0419;Elfsborg;;Elfsborg
f0420;Emirates Club;;
f0421;Entella;;
f0422;Epitsentr;;
f0423;Erokspor;;
f0424;Esperance Tunis;;
f0425;Esteli;;
f0426;Estoril;;Estoril Praia
f0427;Estudiantes L.P.;;
f0428;Estudiantes Rio Cuarto;Estudiantes Rio Cuarto;Estudiantes R o Cuarto
f0429;Ethiopia Bunna;;
f0430;Everton U21;;
f0431;Everton W;;Everton  
f0432;Fakel Voronezh;;
f0433;FAR Rabat;;
f0434;Farnborough;;
f0435;FAS;;FAS
f0436;Fauve Azur Elite;;
f0437;FBC Melgar;FBC Melgar;Melgar
f0438;FC Botosani;;
f0439;FC Cartagena SAD;;
f0440;FC Cincinnati;;
f0441;FC Emmen;FC Emmen;FC Emmen
f0442;FC Hermannstadt;;
f0443;FC Koln;;
f0444;FC Mamer;;Mamer
f0445;FC Porto;;
f0446;Feirense;;Feirense
f0447;Felgueiras;;Felgueiras
f0448;Fenerbahce;Fenerbahce;Fenerbahce
f0449;Ferencvaros;;
f0450;Ferretti;;
f0451;Ferroviaria;;
f0452;Feyenoord;;Feyenoord
f0453;Finn Harps;Finn Harps;Finn Harps
f0454;Fiorentina;Fiorentina;Fiorentina
f0455;First Vienna;;First Vienna
f0456;First Vienna W;;
f0457;FK Panevezys;;FK Paneve ys
f0458;FK Sarajevo;;
f0459;Flamengo RJ;;
f0460;Fleury-Merogis;;
f0461;Flint Mountain;;
f0462;Floriana;;Floriana
f0463;Fluminense;;Fluminense
f0464;Fluminense U20;;
f0465;Foggia;;Foggia
f0466;Fortaleza;;
f0467;Fredericia;;Fredericia
f0468;Freiburg;;Freiburg
f0469;Freiburg II;;
f0470;Fuerte San Francisco;;Fuerte San Francisco
f0471;Fulham;;Fulham
f0472;Fulham U21;;
f0473;Furth II;;
f0474;FUS Rabat;;FUS Rabat
f0475;G.A. Eagles;;Ahead Eagles
f0476;Galatasaray;;
f0477;Galway;;
f0478;Gama;;Gama
f0479;Gamba Osaka;;Gamba
f0480;GAS;;
f0481;Gateshead;;
f0482;Gaziantep;;Gaziantep BB
f0483;Genesis;;
f0484;Genk;;Genk
f0485;Gent U23;;Jong Gent
f0486;Getafe;;Getafe
f0487;Geylang;;
f0488;Giana Erminio;;
f0489;Gifu;;Gifu
f0490;Gijon;;Gij n
f0491;Gil Vicente;;Gil Vicente
f0492;Gimnasia Jujuy;;Gimnasia Jujuy
f0493;Gimnasia L.P.;;
f0494;Gimnasia Mendoza;;
f0495;Gimnasia y Tiro;;Gimnasia Tiro
f0496;Giugliano;;Giugliano
f0497;GKS Katowice;;GKS Katowice
f0498;Gleisdorf;;
f0499;Gnistan;;Gnistan Helsinki
f0500;Goa;;
f0501;Godoy Cruz;CD Godoy Cruz;Godoy Cruz
f0502;Goias;;Goi s
f0503;Gold Coast Knights;;Gold Coast Knights
f0504;Goztepe;;G ztepe
f0505;Grau;;Atl tico Grau
f0506;Gremio;;Gremio
f0507;Gremio Prudente;;
f0508;Gremio U20;;
f0509;Grenoble;;Grenoble
f0510;Grindavik;;
f0511;Groningen;;Groningen
f0512;Grossaspach;;
f0513;Guadalajara;;CD Guadalajara
f0514;Guadalajara Chivas;;Chivas Guadalajara
f0515;Guadalupe;;Guadalupe FC
f0516;Guarani;;Guarani Asuncion
f0517;Guarany de Bage;;
f0518;Guastatoya;;Guastatoya
f0519;Gulf United;;
f0520;Gyor;;Gy ri ETO
f0521;Gzira;;Gzira
f0522;H. Akko;;
f0523;H. Beer Sheva;;Hapoel Beer Sheva
f0524;H. Ironi Rishon;;
f0525;H. Marmorek;;
f0526;H. Migdal HaEmek;;
f0527;H. Raanana;;
f0528;Hacken;;H cken
f0529;Hajduk Split;;Hajduk Split
f0530;Halmstad;;Halmstad
f0531;Hamburger SV II;;
f0532;Hankofen-Hailing;;
f0533;Hannover;;Hannover
f0534;Hap. Ramat Gan;;
f0535;Hapoel Afula;;
f0536;Hapoel Haifa;;Hapoel Haifa
f0537;Hapoel Herzliya;;
f0538;Hapoel Karmiel;;
f0539;Harrogate;;
f0540;Hartlepool;;
f0541;Hassania Agadir;;Hassania Agadir
f0542;Heidelberg Utd;;
f0543;Heidenheim;;Heidenheim
f0544;Helmond;;Helmond
f0545;Helsingborg;;Helsingborg
f0546;Heracles;;Heracles
f0547;Hercules;;C.D. Hercules
f0548;Herrera;;Herrera
f0549;Hertha Berlin;;Hertha Berlin
f0550;Hertha Berlin II;;
f0551;Hertha Wels;;FC HOGO Hertha Wels
f0552;Hertha Zehlendorf;;
f0553;Hibernian;;Hibernian
f0554;Hibernians;;Hibernians
f0555;Hillerod;;Hillerod
f0556;HJK U19;;
f0557;Hobro;;Hobro
f0558;Hoffenheim II;;Hoffenheim II
f0559;Holon Yermiyahu;;
f0560;Holywell;;
f0561;Honved;;Honv d
f0562;Hostert;;Hostert
f0563;Houston Dynamo;;Houston
f0564;Huddersfield U21;;
f0565;Hull U21;;
f0566;Humaita;;
f0567;Huracan;CA Huracan;Huracan
f0568;Hvidovre IF;Hvidovre IF;
f0569;Chacarita Juniors;;Chacarita
f0570;Chaco For Ever;;Chaco For Ever
f0571;Chapecoense-SC;;Chapecoense
f0572;Charleroi;;Charleroi
f0573;Charlestown Azzurri;;Charlestown Azzurri
f0574;Charlton W;;Charlton  
f0575;Chateauroux;;Chateauroux
f0576;Chaves;;Chaves
f0577;Chelsea U19;;
f0578;Chelsea W;;Chelsea  
f0579;Cheltenham;;Cheltenham
f0580;Chemie Leipzig;;
f0581;Chemnitzer;;
f0582;Chiangrai Utd;;
f0583;Chiba;;Chiba
f0584;Chicago Fire;;Chicago
f0585;Chippenham;;
f0586;Chivilcoy;;
f0587;Chojniczanka;;
f0588;Choloma;;
f0589;Iceland;;
f0590;Igdir FK;Igdir FK;Igdir FK
f0591;Imabari;;Imabari
f0592;Imisli FK;;Imisli
f0593;IMT Novi Beograd;;IMT Novi Beograd
f0594;Ind. Medellin;;
f0595;Ind. Rivadavia;;
f0596;Ind. Yumbo;;
f0597;Independencia;;Independencia
f0598;Independente AP;;
f0599;Independiente;;
f0600;Inter Bogot ;;Inter Bogot 
f0601;Inter de Limeira;;
f0602;Inter F.A;;Inter F.A
f0603;Inter Miami;;Inter Miami
f0604;Internacional;;
f0605;Ipswich;;
f0606;Ipswich U21;;
f0607;IR Reykjavik;;
f0608;IR Tanger;;Ittihad Tanger
f0609;Irapuato;;
f0610;Ironi Baka;;
f0611;Ironi Modiin;;
f0612;Ironi Nesher;;
f0613;Istanbulspor AS;;
f0614;Istra 1961;;
f0615;Itabaiana;;
f0616;Itacoatiara;;
f0617;Ittihad Kalba;;
f0618;Ituano;;
f0619;Ituzaingo;;Ituzaingo
f0620;Iwaki;;Iwaki
f0621;Jacuipense;;
f0622;Jaen;;
f0623;Jagiellonia;Bialystok;Bialystok
f0624;Jamaica;;Jamajka
f0625;Jamshedpur;;Jamshedpur
f0626;Jeddah;;
f0627;Jedinstvo U.;;Jedinstvo Ub
f0628;Jelenia Gora;;
f0629;Jena;;
f0630;Jerusalem FC;;
f0631;Jeunesse Canach;;Jeunesse Canach
f0632;Jihlava;Jihlava;Jihlava
f0633;Ji-Parana;;
f0634;Jong Ajax;Jong Ajax;Jong Ajax
f0635;Jong AZ;;
f0636;Jong PSV;;Jong PSV
f0637;Jong Utrecht;;Jong Utrecht
f0638;JS Kairouan;;
f0639;Juan Pablo II;;Juan Pablo II
f0640;Juticalpa;;Juticalpa
f0641;Juve Stabia;;Juve Stabia
f0642;Juventud;;Juventud de Las Piedras
f0643;Juventude;;Juventude
f0644;Juventus;;
f0645;Juventus U23;;Juventus Torino Next Gen
f0646;Juventus-SP;;
f0647;Kabel Novi Sad;;Kabel Novi Sad
f0648;Kabylie;;Kabylie
f0649;Kagoshima Utd;;Kagoshima United
f0650;Kahibah;;Kahibah
f0651;Kaiserslautern;;Kaiserslautern
f0652;Kakamega Homeboyz;;
f0653;Kamatamare;;Kamatamare
f0654;Kamaz;;
f0655;Kanazawa;;Kanazawa
f0656;KaPa;;K Pa Helsinki
